ID,estado,period,CV
22,ENVCOLD,First_30s,9.372536031464737
22,ENVCOLD,Last_30s,10.268908440742006
22,ENVHEAT,First_30s,5.261569834670142
22,ENVHEAT,Last_30s,5.944359203803079
22,WATCOLD,First_30s,10.602556502559098
22,WATCOLD,Last_30s,6.202691063039928
22,WATHEAT,First_30s,13.34356819451228
22,WATHEAT,Last_30s,7.425455657625984
23,15C,First_30s,8.25457624213355
23,15C,Last_30s,10.227180879334165
23,1C,First_30s,13.703765674353335
23,1C,Last_30s,3.439997450781789
23,36C,First_30s,13.419158832314556
23,36C,Last_30s,17.255223392850972
23,8C,First_30s,5.519952536858268
23,8C,Last_30s,8.285614264558863
23,ENVCOLD,First_30s,4.595506654164353
23,ENVCOLD,Last_30s,3.094820661797341
23,ENVHEAT,First_30s,10.38716096306863
23,ENVHEAT,Last_30s,11.046548911731044
23,WATHEAT,First_30s,9.079393605015705
23,WATHEAT,Last_30s,10.146905505243542
24,15C,First_30s,11.796743133442591
24,15C,Last_30s,13.955444505153865
24,1C,First_30s,72.82992194739877
24,1C,Last_30s,2.9772917102591703
24,29C,First_30s,5.919950465395501
24,29C,Last_30s,8.064423691404444
24,36C,First_30s,8.979884709160556
24,36C,Last_30s,34.2964120828837
24,ENVCOLD,First_30s,3.1401464728585835
24,ENVCOLD,Last_30s,3.151459515853233
24,ENVHEAT,First_30s,4.662820025514516
24,ENVHEAT,Last_30s,3.0086325260942113
25,15C,First_30s,14.638255403551772
25,15C,Last_30s,8.447802079382074
25,29C,First_30s,11.317496922263107
25,29C,Last_30s,7.231416115343767
25,36C,First_30s,7.17117090290799
25,36C,Last_30s,4.888603918113402
25,8C,First_30s,10.747202184199796
25,8C,Last_30s,4.805324008304672
25,ENVCOLD,First_30s,14.99420110543919
25,ENVCOLD,Last_30s,9.441683773959635
25,ENVHEAT,First_30s,6.506224134241291
25,ENVHEAT,Last_30s,3.668628066573079
25,WATCOLD,First_30s,14.876721250640532
25,WATCOLD,Last_30s,11.036128948087024
25,WATHEAT,First_30s,6.7686792466285866
25,WATHEAT,Last_30s,4.99021581930404
26,15C,First_30s,6.182583631546371
26,15C,Last_30s,6.349938298308031
26,29C,First_30s,8.97361818455113
26,29C,Last_30s,8.760231724329302
26,36C,First_30s,10.360822454298637
26,36C,Last_30s,6.106803107296017
26,8C,First_30s,18.12575581137429
26,8C,Last_30s,26.671237991834936
26,ENVHEAT,First_30s,3.728433417107398
26,ENVHEAT,Last_30s,5.443647848657274
26,WATHEAT,First_30s,5.422183256772861
26,WATHEAT,Last_30s,4.839940307770956
27,15C,First_30s,5.220859048587869
27,15C,Last_30s,6.613247023235423
27,1C,First_30s,1.5225705794926303
27,1C,Last_30s,14.514423033571653
27,36C,First_30s,8.506812617747599
27,36C,Last_30s,10.225957486608321
27,8C,First_30s,8.587587260820033
27,8C,Last_30s,7.325741827328317
27,ENVCOLD,First_30s,6.429514873160752
27,ENVCOLD,Last_30s,5.883387996479023
27,ENVHEAT,First_30s,3.8798168339719816
27,ENVHEAT,Last_30s,7.154752000626995
27,WATCOLD,First_30s,9.111916006929016
27,WATCOLD,Last_30s,3.688403214113508
27,WATHEAT,First_30s,3.2178870272082944
27,WATHEAT,Last_30s,4.206197447526762
28,15C,First_30s,6.90305983643214
28,15C,Last_30s,7.290644863662857
28,1C,First_30s,3.7070761646046604
28,1C,Last_30s,2.9552837112634407
28,29C,First_30s,7.101420180053683
28,29C,Last_30s,6.14432425208488
28,36C,First_30s,7.273201800468943
28,36C,Last_30s,4.315880283856225
28,8C,First_30s,12.158165946738
28,8C,Last_30s,11.161628986527173
