Block,Temperature,Treatment,Snail,MeanHR_mov,SDNN_mov,RMSSD_mov,pNN50_mov,NNi_mov,Normalized_RMSSD,CV
Cold,22,WATCOLD,5,72.93932004,56.43335432,50.37886976,23.94366197,823.6057069,0.061168675,6.8519868
Cold,22,WATCOLD,6,58.04459351,54.46336282,53.74196192,26.31578947,1033.907727,0.051979457,5.267719875
Cold,22,WATCOLD,7,56.41666664,97.33472107,134.2539999,42.59259259,1068.472384,0.125650416,9.109708639
Cold,22,WATCOLD,8,51.00395923,39.62791723,47.4019024,30,1177.124546,0.040269233,3.366501647
Cold,22,WATCOLD,9,45.5496975,95.82817983,87.11300956,64.44444444,1317.398555,0.066125023,7.274046223
Cold,22,WATCOLD,10,59.25983715,108.1430448,89.10585891,24.13793103,1012.992152,0.08796303,10.67560539
Cold,22,WATCOLD,11,63.72619038,76.07135682,67.3622173,25.3968254,940.1056142,0.071653883,8.091788377
Cold,22,WATCOLD,12,54.19195009,80.23816581,87.76375257,50.94339623,1107.405349,0.079251696,7.245600347
Cold,22,WATCOLD,13,59.01888453,95.01655933,66.27104692,32.75862069,1016.949153,0.065166529,9.343294997
Cold,22,WATCOLD,14,51.59348744,142.5993347,213.1390147,62,1171.892882,0.181875851,12.16829088
Cold,22,WATCOLD,15,50.03742706,54.324248,45.20050654,28.57142857,1200.667037,0.037646163,4.524505656
Cold,22,WATCOLD,16,65.49893405,67.25464118,67.86612255,40.625,916.9196562,0.074015343,7.334845613
Cold,22,WATCOLD,17,58.01614543,61.93556949,71.77688763,42.10526316,1036.782887,0.069230394,5.973822511
Cold,22,WATCOLD,18,53.44017208,83.3481854,82.08686923,38.46153846,1124.524107,0.072996985,7.411862928
Cold,22,WATCOLD,22,52.47595899,111.175389,90.19644381,37.25490196,1148.073716,0.078563286,9.683645523
Cold,22,WATCOLD,25,51.6711905,148.9814112,204.727194,64,1169.931007,0.174990827,12.73420486
Cold,22,WATCOLD,27,65.61374609,64.65281366,57.47011461,23.07692308,915.154884,0.062798238,7.06468542
Cold,22,WATCOLD,28,48.85766291,61.66433464,75.5230776,42.55319149,1228.460256,0.061477836,5.019644253
Cold,22,WATCOLD,29,43.3314339,70.25380828,70.65851629,34.88372093,1386.37627,0.050966334,5.067441632
Cold,22,WATCOLD,30,59.2822556,116.2441006,141.3619859,45.61403509,1016.081731,0.139124621,11.44042817
Cold,22,WATCOLD,31,49.47047187,90.67431413,73.50392418,26.53061224,1214.674819,0.060513253,7.46490441
Heat,29,29C,1,62.69740661,62.08678054,80.25488312,48.38709677,957.6748988,0.083801803,6.483074853
Heat,29,29C,2,53.7742434,52.91785901,53.62192931,37.73584906,1116.052128,0.04804608,4.741522164
Heat,29,29C,3,45.34385611,106.459274,116.7315175,70.45454545,1325.921808,0.08803801,8.029076327
Heat,29,29C,4,50.02848042,68.85065762,48.11961378,18.36734694,1198.665926,0.040144308,5.743940503
Heat,29,29C,5,36.15552537,50.02779322,36.53513446,14.28571429,1659.255142,0.022018997,3.015075377
Heat,29,29C,7,44.71203518,75.13858036,107.7727661,60.46511628,1342.412451,0.080282901,5.597279756
Heat,29,29C,9,49.6421919,211.0119144,308.8050459,87.5,1221.767195,0.252752773,17.2710411
Heat,29,29C,10,51.18394959,114.0407646,175.0257934,66,1177.124546,0.148689273,9.688079735
Heat,29,29C,11,38.26342289,727.2652063,797.6206834,88.57142857,1655.549379,0.481786103,43.92893474
Heat,29,29C,12,57.56033914,51.4088404,42.74841208,19.64285714,1042.684532,0.040998414,4.930430904
Heat,29,29C,13,56.10185333,258.6490828,202.8714574,65.45454545,1077.384261,0.188300001,24.00713396
Heat,29,29C,14,58.26296564,105.1883361,85.54572141,40.35087719,1033.332694,0.082786233,10.17952269
Heat,29,29C,15,48.78461073,127.2328364,168.3835134,53.19148936,1234.018899,0.136451325,10.31044472
Heat,29,29C,16,48.79213363,457.0820021,476.7075265,68.08510638,1253.474152,0.38030902,36.46521162
Heat,29,29C,17,74.00129788,114.3419833,150.6786745,19.17808219,814.4164175,0.185014289,14.03974439
Heat,29,29C,18,47.81624455,172.1824641,144.3973132,42.55319149,1256.253474,0.114942817,13.70602889
Heat,29,29C,19,59.70157065,123.2138273,97.96094644,40.6779661,1008.89383,0.097097379,12.21276448
Heat,29,29C,20,68.36356702,55.54127594,67.56923976,20.89552239,879.4101298,0.07683473,6.315742116
Heat,29,29C,21,63.34611602,66.89370494,51.11880232,25.3968254,947.4013341,0.053956861,7.060756886
Heat,29,29C,24,60.57048781,72.36158724,62.01677309,37.28813559,991.6620345,0.062538215,7.297000865
Heat,29,29C,25,63.9506169,87.86556912,112.3057273,45.16129032,940.7342704,0.119380925,9.340105052
Heat,29,29C,26,65.59665523,82.98749012,115.7596724,54.6875,917.4327618,0.126177827,9.045620952
Heat,29,29C,28,63.76465238,64.6176319,62.3248372,30.15873016,942.7112285,0.066112331,6.854445979
Heat,29,29C,29,52.50680966,73.4093014,75.73783269,37.25490196,1144.225424,0.066191356,6.415632782
